tractID,rent2000,value2000,income2000,rent2012,value2012,income2012,Gross Rent,Home Value,Household Income,rentError2012,valueError2012,incomeError2012
48453002403,723.6885576,82500.36427,44160.61884,1043,145800,44493,0.441227706,0.767264924,0.007526642,557,16300,4120
48453002308,627.1184827,105753.0593,29066.36094,897,240200,37456,0.430351719,1.27132909,0.288637407,60,27260,6875
48453001774,1208,179200,92426,1722,220300,98606,0.425496689,0.229352679,0.066864302,43,7285,8691
48453001308,578.2003286,85160.06145,32288.87333,821,263900,45242,0.419923095,2.098870474,0.401163786,109,33396,8834
48453002317,610,55700,17321,862,110900,16073,0.413114754,0.991023339,-0.072051267,83,37710,3356
48453000102,793.0771819,319603.3357,101881.0646,1115,638500,143393,0.405916127,0.997788911,0.407454865,359,51183,21486
48453001605,789.0002149,298799.1969,50374.59808,1109,661300,80393,0.405576297,1.213192026,0.595903552,70,176677,16653
48453001718,824.8621769,249988.7949,56079.9796,1156,388200,74386,0.401446244,0.552869601,0.326427016,130,37076,15718
48453001737,877.2564672,180401.2925,90876.30282,1229,277200,111003,0.400958609,0.536574357,0.221473548,95,5562,7686
48453001857,890.8310709,126289.3471,68625.5346,1247,158400,64763,0.399816464,0.254262562,-0.056284219,181,3728,9341
48453000302,598.0000497,178599.6395,27452.95042,837,374200,32731,0.399665436,1.095189,0.192258009,83,63014,10758
48453001304,777,139200,40871,1087,335200,57083,0.398970399,1.408045977,0.39666267,71,16578,16141
48453001864,732.2039736,89445.42545,40154.15522,1022,135600,46135,0.395785924,0.516008217,0.148947095,60,5078,5382
48453001712,682.058446,110297.0033,36461.52545,948,222100,46091,0.389910213,1.013653983,0.264099607,106,9674,10311
48453001901,743,193000,48882,1031,396900,66581,0.387617766,1.056476684,0.36207602,61,29215,13204
48453001841,824.0005949,132846.2716,66788.90969,1142,162700,72365,0.38592133,0.224723871,0.083488267,74,4485,7977
48453000203,1122.285052,65122.98344,14228.28425,1552,-,44083,0.382892873,,2.098265344,106,**,17912
48491020509,1012,178000,85895,1399,284700,106294,0.382411067,0.599438202,0.23748763,321,16473,7717
48453001728,925,103800,60318,1277,179900,67426,0.380540541,0.733140655,0.117842104,114,7432,5113
48453002425,806,73900,42115,1112,187300,71848,0.379652605,1.534506089,0.705995489,174,7703,5684
48453002202,729.803583,67843.08949,32244.40449,998,107600,30032,0.367491231,0.586012677,-0.068613594,76,5479,5488
48453002005,668.0000346,110299.9574,32702.00917,913,216000,39583,0.366766396,0.958296313,0.210414926,48,27338,8125
48453002413,711,72300,34219,970,104000,29968,0.364275668,0.438450899,-0.124229229,40,6693,8475
48209010908,592,74100,45042,806,153700,63306,0.361486486,1.074224022,0.405488211,194,9209,14688
48453002113,659.2423597,83965.53936,44337.43749,894,165200,58393,0.356102178,0.967473814,0.317013416,207,6717,10557
48453001307,648,92900,31489,878,273200,38198,0.354938272,1.940796555,0.213058528,48,22567,8554
48453001504,773,117100,42765,1044,239400,64110,0.350582147,1.04440649,0.499123115,81,10383,2919
