2000GEOID,Area2000 (Sq Mi),2012GEOID,Area2012 (Sq Mi),IntersectioNArea (Sq Mi),% of 2000 tract covering 2012 tract
48453001826,1.256110657,48453001826,1.242377123,1.24237663,0.999999604
48453002206,84.91719526,48453002207,26.92523777,26.92522607,0.999999565
48453001906,8.466046869,48453001916,5.237047296,5.237045004,0.999999562
48453000402,0.596276875,48453000402,0.596272116,0.596271846,0.999999547
48453001722,1.070780281,48453001722,1.063627527,1.063627029,0.999999532
48453002420,3.931976945,48453002429,1.023502363,1.023501871,0.999999519
48453001850,0.670940769,48453001850,0.670941114,0.670940769,0.999999486
48453000500,0.444589877,48453000500,0.444563924,0.444563668,0.999999426
48453001000,0.907246415,48453001000,0.902406796,0.902406272,0.999999419
48491020402,3.187881813,48491020409,1.897117264,1.897115511,0.999999076
48453001817,0.967797958,48453001817,0.967798733,0.967797815,0.999999051
48453002416,68.42659112,48453002433,27.88429258,27.88425477,0.999998644
48453000302,0.79235281,48453000302,0.792353556,0.792352419,0.999998566
48491020504,3.585880104,48491020504,3.585884899,3.585879713,0.999998554
48491020406,1.073814056,48491020406,1.073815296,1.073813553,0.999998377
48453002005,0.632621633,48453002005,0.632622663,0.632621633,0.999998372
48453001715,2.29878431,48453001782,1.338419146,1.338416564,0.999998071
48453000601,0.429846589,48453000601,0.429846385,0.429845398,0.999997704
48453002303,6.981109517,48453002319,0.214528222,0.214526975,0.999994187
48453002111,2.662870658,48453002111,2.661999873,2.661979108,0.999992199
48021950300,135.6457633,48021950300,135.6466652,135.6453311,0.999990165
48453001605,0.731433723,48453001605,0.731441441,0.731433482,0.999989119
48453002407,5.922709202,48453002407,5.922786161,5.922708827,0.999986943
48453002312,1.712271162,48453002312,1.69888884,1.698853511,0.999979205
48453001744,2.240012353,48453001786,0.85798836,0.857962512,0.999969874
48453002310,7.176718667,48453002310,7.155735031,7.155493456,0.99996624
48453000401,0.84264307,48453000401,0.842673065,0.842642815,0.999964102
48453001760,13.30676435,48453001760,13.24401735,13.24339303,0.99995286
48209010901,32.53087077,48209010901,32.53265739,32.53086939,0.99994504
48453001812,0.900974852,48453001812,0.896658295,0.896606889,0.999942669
48453001732,17.06126084,48453001770,5.18001271,5.179658494,0.999931619
48453001837,108.0409681,48453001856,23.81054746,23.80891164,0.999931298
48453001909,7.715185059,48453001915,2.402475975,2.402297475,0.999925702
48453001761,11.48550346,48453001761,11.4751867,11.474308,0.999923426
48453001768,83.22084592,48453001768,83.21637121,83.20964371,0.999919157
48453001851,2.908688158,48453001851,2.887952157,2.88770553,0.999914601
48453001733,8.719715893,48453001733,8.717229792,8.716428369,0.999908064
48453001839,3.187104868,48453001839,3.166210502,3.165847826,0.999885454
48453001769,3.471176852,48453001769,3.469607991,3.46920641,0.999884258
48453001912,5.832308049,48453001912,5.833042771,5.832308049,0.999874041
48453001713,0.996643676,48453001713,0.996774231,0.996643676,0.999869022
48491020407,5.076355497,48491020411,4.064886555,4.064303484,0.999856559
48491020405,1.15936533,48491020405,1.158301999,1.158131694,0.99985297
48453001847,1.206074844,48453001847,1.180618786,1.180428582,0.999838895
48453002206,84.91719526,48453002209,26.4838561,26.47889877,0.999812817
48453000102,2.179282619,48453000102,2.176451365,2.175819559,0.999709708
48453002205,19.19672259,48453002208,4.999653975,4.99794057,0.999657295
48453002201,2.026971324,48453002201,2.02446281,2.023716898,0.999631551
48453002109,1.079639134,48453002109,1.080069078,1.079639134,0.999601929
48453001705,2.059366365,48453001705,2.060228346,2.059365587,0.999581231
48491020308,4.49627437,48491020316,1.719357549,1.718531959,0.999519826
48453002002,0.596389619,48453002002,0.596713574,0.596388589,0.999455376
48491020309,18.66749434,48491020317,3.914959822,3.912578319,0.999391691
48453001739,1.808364128,48453001776,0.774247989,0.773776427,0.999390942
48453000803,0.557540755,48453000803,0.557885719,0.557540485,0.999381174
48453001852,2.651635005,48453001863,0.587721349,0.587311697,0.999302982
48453002417,46.22769819,48453002432,17.16953194,17.15695881,0.999267707
48491020502,6.567852215,48491020510,2.890411909,2.887978509,0.999158113
48453001738,1.918508006,48453001738,1.911250176,1.909596327,0.999134676
48491020308,4.49627437,48491020318,2.777000213,2.774454725,0.999083368
48491020403,0.605118808,48491020403,0.605695174,0.605118738,0.999048306
48491020402,3.187881813,48491020408,1.241946708,1.240713399,0.999006955
48453001755,2.867001914,48453001755,2.870082921,2.867001914,0.998926509
48453002421,3.189797955,48453002421,3.162952721,3.159412776,0.99888081
48491020502,6.567852215,48491020509,1.772904383,1.770914438,0.998877579
48453002418,13.08436839,48453002426,5.427609982,5.421301221,0.998837654
48453001716,8.047442106,48453001716,8.04687172,8.036299911,0.998686221
48491020503,5.964957072,48491020503,5.947052372,5.939061565,0.998656341
48453001834,6.077058491,48453001834,6.011838104,6.003503702,0.998613668
48453001718,1.358493914,48453001718,1.360389403,1.358493914,0.998606657
48453002202,4.958731337,48453002202,4.965442806,4.958021191,0.998505347
48453001714,6.788715226,48453001714,6.798979584,6.788711783,0.998489803
48453000203,0.466185524,48453000203,0.466916789,0.466184388,0.998431409
48453002402,1.378914509,48453002402,1.381367727,1.378914509,0.998224066
48453002416,68.42659112,48453002435,18.88069963,18.84114117,0.99790482
48453002308,1.247081169,48453002308,1.235715583,1.232940985,0.997754663
48453001765,31.0596373,48453001765,31.12652599,31.05627712,0.997743119
48453001750,2.345378253,48453001750,2.344276773,2.338889339,0.997701878
48453000901,0.333942553,48453000901,0.334779029,0.333942553,0.997501409
48453002417,46.22769819,48453002431,7.775102964,7.755025397,0.99741771
48453001911,1.301011245,48453001911,1.292505589,1.288975505,0.997268806
48453001841,3.703224159,48453001841,3.710221041,3.699936332,0.997228007
48453001402,0.525024543,48453001402,0.525275674,0.523689231,0.996979789
48453001818,0.991805506,48453001818,0.994919051,0.991804587,0.996869631
48453000101,1.203298783,48453000101,1.20709969,1.203298783,0.996851207
48453001813,1.363801093,48453001813,1.36811768,1.363749792,0.996807374
48453002303,6.981109517,48453980000,6.750220539,6.726771181,0.996526135
48453001737,3.345222781,48453001737,3.318696191,3.305999343,0.996174146
48453001804,0.843855208,48453001804,0.84721843,0.843855208,0.996030278
48453001305,1.211511797,48453001305,1.212279255,1.207454841,0.996020377
48453002113,0.789555975,48453002113,0.792745094,0.78949089,0.995895018
48453001835,0.993476945,48453001835,0.997220654,0.993115874,0.995883779
48453001908,12.44906205,48453001908,12.49626502,12.44254642,0.995701228
48453001749,1.643413749,48453001749,1.649320924,1.642167052,0.995662535
48453000700,0.620871609,48453000700,0.623555579,0.620526375,0.995142047
48453001754,1.239671952,48453001754,1.245832932,1.239671952,0.99505473
48453002205,19.19672259,48453002212,11.63302039,11.5734663,0.9948806
48453001707,1.07244364,48453001707,1.078078524,1.07244364,0.994773216
48453002411,1.530465623,48453002411,1.528722031,1.51999688,0.99429252
48453001904,5.031335107,48453001918,3.324141231,3.305061058,0.99426012
48453001840,3.505505387,48453001840,3.516607471,3.496167508,0.994187591
48453001842,11.76442424,48453001842,11.82813793,11.75808259,0.994077231
48453001100,1.043001336,48453001100,1.033596117,1.027228721,0.993839571
48453001811,0.55374781,48453001811,0.557548341,0.553632803,0.992977222
48453001852,2.651635005,48453001864,1.974559503,1.959892755,0.992572142
48453001836,13.00358373,48453001857,2.747583401,2.726631891,0.992374568
48453001753,1.013627459,48453001753,0.910652423,0.903499172,0.992144916
48453002304,0.600189187,48453002304,0.604960451,0.600189187,0.992113097
48453000603,0.302412135,48453000603,0.305066992,0.302412135,0.991297461
48453001741,7.498181733,48453001741,7.565528123,7.498181733,0.991098257
48453002313,0.937012199,48453002313,0.939062161,0.930334294,0.990705762
48453002423,0.996606607,48453002423,1.00617873,0.996606607,0.990486657
48453001712,0.885461582,48453001712,0.894228785,0.885461265,0.990195439
48453001303,0.664890404,48453001303,0.671834539,0.664890404,0.989663921
48453002307,0.822976527,48453002307,0.819560555,0.811021936,0.989581467
48453001848,1.299689296,48453001848,1.301684734,1.2879508,0.989449109
48453001756,0.813867428,48453001756,0.823371178,0.813867428,0.988457514
48491020502,6.567852215,48491020508,1.92610699,1.902649186,0.987821131
48453001200,0.97262521,48453001200,0.970437805,0.958402066,0.987597619
48453001308,0.497489539,48453001308,0.504211212,0.497488959,0.986667784
48453002422,1.53537484,48453002422,1.556106347,1.53529089,0.986623371
48453001602,1.102459403,48453001602,1.11352267,1.097169687,0.985314189
48453001743,12.83574178,48453001784,7.206764071,7.097650366,0.984859542
48453001904,5.031335107,48453001919,1.718821665,1.691532825,0.984123519
48453002403,1.006078091,48453002403,1.022628355,1.006078091,0.983815955
48491020309,18.66749434,48491020311,2.823570942,2.776929459,0.983481384
48453001740,1.78439963,48453001740,1.823623407,1.78439963,0.978491295
48453001401,0.520387893,48453001401,0.531963238,0.519481646,0.976536738
48453001910,2.650781138,48453001910,2.681039534,2.607767448,0.97267027
48453001846,2.195483472,48453001846,2.254490706,2.179421598,0.96670241
48453001744,2.240012353,48453001785,1.436639457,1.353362838,0.942033738
48453001706,0.925166661,48453001706,1.028796529,0.924303891,0.898432163
48453001759,0.738200742,48453002500,1.291617022,0.738200582,0.571532095
48453001758,0.547958948,48453002500,1.291617022,0.547958948,0.424242588
48453001753,1.013627459,48453001706,1.028796529,0.104492477,0.101567681
48453001852,2.651635005,48453001785,1.436639457,0.066491716,0.046282813
48453001100,1.043001336,48453001401,0.531963238,0.012481593,0.023463262
48453001737,3.345222781,48453001740,1.823623407,0.039223237,0.021508408
48453001852,2.651635005,48453001846,2.254490706,0.037688963,0.016717285
48453001910,2.650781138,48453001919,1.718821665,0.02728884,0.015876481
48491020402,3.187881813,48491020311,2.823570942,0.043832791,0.015523885
48453001742,8.590130638,48453001784,7.206764071,0.109113706,0.015140458
48453001910,2.650781138,48453001602,1.11352267,0.015724682,0.014121564
48453002308,1.247081169,48453002403,1.022628355,0.014140185,0.013827296
48453002421,3.189797955,48453002422,1.556106347,0.020815458,0.013376629
48453002003,0.777851674,48453001308,0.504211212,0.006722253,0.013332216
48453001904,5.031335107,48453001910,2.681039534,0.034741224,0.012958117
48453001911,1.301011245,48453001200,0.970437805,0.01203574,0.012402381
48453001906,8.466046869,48453001910,2.681039534,0.033241146,0.012398603
48491020503,5.964957072,48491020508,1.92610699,0.023457115,0.012178511
48453001847,1.206074844,48453001846,2.254490706,0.025646262,0.011375634
48453001846,2.195483472,48453001785,1.436639457,0.015874126,0.011049485
48453001826,1.256110657,48453001848,1.301684734,0.013733934,0.010550891
48453002411,1.530465623,48453002307,0.819560555,0.008538619,0.010418533
48453001200,0.97262521,48453001303,0.671834539,0.006944135,0.010336079
48453002004,0.343359373,48453001712,0.894228785,0.00876752,0.009804561
48453001744,2.240012353,48453001756,0.823371178,0.007979918,0.009691763
48453002421,3.189797955,48453002423,1.00617873,0.009569721,0.009510955
48453002417,46.22769819,48453002313,0.939062161,0.008719463,0.009285288
48453001742,8.590130638,48453001741,7.565528123,0.06734639,0.008901743
48453001603,0.990735784,48453000603,0.305066992,0.002653667,0.008698638
48453001000,0.907246415,48453002304,0.604960451,0.004771264,0.007886903
48453001722,1.070780281,48453001753,0.910652423,0.007153252,0.007855084
48453001851,2.908688158,48453001857,2.747583401,0.020572975,0.007487662
48453001744,2.240012353,48453001864,1.974559503,0.014666522,0.007427744
48453001834,6.077058491,48453001811,0.557548341,0.003915122,0.007022032
48453001906,8.466046869,48453001918,3.324141231,0.019080173,0.00573988
48453001834,6.077058491,48453001842,11.82813793,0.067430769,0.005700878
48453002307,0.822976527,48453002411,1.528722031,0.008691773,0.005685646
48453001753,1.013627459,48453001707,1.078078524,0.005634884,0.005226784
48453001848,1.299689296,48453001846,2.254490706,0.011733883,0.005204671
48453001849,2.890122459,48453001754,1.245832932,0.006160392,0.004944798
48453001839,3.187104868,48453001840,3.516607471,0.017152136,0.004877467
48453000604,0.260490387,48453000700,0.623555579,0.003029203,0.004857953
48453001906,8.466046869,48453001908,12.49626502,0.053500002,0.004281279
48453001744,2.240012353,48453002500,1.291617022,0.005457492,0.004225317
48453001839,3.187104868,48453001835,0.997220654,0.004104757,0.004116197
